date,iso3,country,country_wgc,region_group,economic_group,source,fx_reserves_usd_mn,total_reserves_usd_mn,gold_reserves_tonnes,gold_reserves_usd_mn,gold_holdings_pct
2025-12-31,EST,Estonia,"Estonia, Rep. of",Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,FJI,Fiji,"Fiji, Rep. of",Australasia / Oceania,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,FIN,Finland,Finland,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,FRA,France,France,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,GAB,Gabon,Gabon,Sub-Saharan Africa,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,DEU,Germany,Germany,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,GRC,Greece,Greece,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,HTI,Haiti,Haiti,Latin America & Caribbean,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,HND,Honduras,Honduras,Latin America & Caribbean,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,HKG,Hong Kong SAR,"China, P.R.: Hong Kong",East Asia,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,IRQ,Iraq,Iraq,Middle East & North Africa,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,IRL,Ireland,Ireland,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,JOR,Jordan,Jordan,Middle East & North Africa,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,KWT,Kuwait,Kuwait,Middle East & North Africa,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,LAO,Lao PDR,Lao People's Dem. Rep.,South East Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,LVA,Latvia,Latvia,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,LBN,Lebanon,Lebanon,Middle East & North Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,LBY,Libya,Libya,Middle East & North Africa,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,LTU,Lithuania,Lithuania,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,LUX,Luxembourg,Luxembourg,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,MWI,Malawi,Malawi,Sub-Saharan Africa,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,MLT,Malta,Malta,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,MRT,Mauritania,"Mauritania, Islamic Rep. of",Middle East & North Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,MAR,Morocco,Morocco,Middle East & North Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,MOZ,Mozambique,"Mozambique, Rep. of",Sub-Saharan Africa,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,MMR,Myanmar,Myanmar,South East Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,NPL,Nepal,Nepal,South Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,NLD,Netherlands,"Netherlands, The",Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,NIC,Nicaragua,Nicaragua,Latin America & Caribbean,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,8321.04,,,,
2025-12-31,NGA,Nigeria,Nigeria,Sub-Saharan Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,OMN,Oman,Oman,Middle East & North Africa,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,PNG,Papua New Guinea,Papua New Guinea,South East Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,PRY,Paraguay,Paraguay,Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,PRT,Portugal,Portugal,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,SAU,Saudi Arabia,Saudi Arabia2),Middle East & North Africa,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,SRB,Serbia,"Serbia, Rep. of",Central and Eastern Europe,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,SVK,Slovakia,Slovak Rep.,Central and Eastern Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,SVN,Slovenia,"Slovenia, Rep. of",Central and Eastern Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,ESP,Spain,Spain,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,LKA,Sri Lanka,Sri Lanka,South Asia,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,CHE,Switzerland,Switzerland,Western Europe,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,SYR,Syrian Arab Republic,Syrian Arab Rep.,Middle East & North Africa,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,TWN,"Taiwan, China",Taiwan Province of China,East Asia,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,TJK,Tajikistan,"Tajikistan, Rep. of",Central Asia,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,TTO,Trinidad and Tobago,Trinidad and Tobago,Latin America & Caribbean,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,TUN,Tunisia,Tunisia,Middle East & North Africa,Lower middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,TKM,Turkmenistan,Turkmenistan,Central Asia,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,ARE,United Arab Emirates,United Arab Emirates,Middle East & North Africa,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,USA,United States of America,United States,North America,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,URY,Uruguay,Uruguay,Latin America & Caribbean,High income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,VEN,Venezuela,"Venezuela, Rep. Bolivariana de",Latin America & Caribbean,Upper middle income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
2025-12-31,YEM,Yemen,"Yemen, Rep. of",Middle East & North Africa,Low income,wgc_fsapi:cbd_v11:snapshot_latest,,,,,
